No_;Nazwa_PL;Skład_PL;Opis_PL;Nazwa_EN;Skład_EN;Opis_EN;Gender;Gramatura;Net Weight;PVS Item Type Code$5452f323-059e-499a-9753-5d2c07eef904;PVS Quality Type Code$5452f323-059e-499a-9753-5d2c07eef904
GPF/126402/L776;Male zestaw drewnianej tacy do serwowania i szklanek;50% Szkło borokrzemowe, 50% Drewno akacjowe;Dzięki tej eleganckiej drewnianej tacy oraz dwóm szklanym filiżankom o pojemności 200 ml zapewnisz bardziej wykwintne serwowanie dań. Taca ta wykonana jest z najwyższej jakości drewna akacjowego. Ma piękne naturalne wykończenie i solidną konstrukcję, dzięki czemu doskonale nadaje się podawania napojów lub przekąsek w eleganckim stylu. Dwie filiżanki wykonane z wytrzymałego szkła sodowo-wapniowego idealnie nadają się do podawania wody, soków lub koktajli. Ten zestaw łączy funkcjonalność z elegancją i będzie stylowym dodatkiem do każdego domu lub podczas przyjęcia. Szklanki można myć w zmywarce.;Male wooden serving tray and glass cups with matt finish set;50% Borosilicate glass, 50% Acacia wood;Enhance your serving experience with this elegant wooden tray paired with two 200 ml glass cups. The tray, crafted from premium acacia wood, has a beautiful natural finish and sturdy construction, perfect for serving drinks or snacks in style. The two cups, made from durable soda-lime glass, feature a sleek design and are ideal for water, juice, or cocktails. Combining functionality with sophistication, this set is a stylish addition to any home or entertaining occasion. The glasses are dishwasher safe.;U;0;0,242;AK;
GPF/113419/M282;Szklany kubek Lenora z bambusową pokrywką o pojemności 250 ml;80% Szkło, 20% Bambus certyfikowany FSC;Szklany kubek o pojemności 250 ml z podwójnymi ściankami zapewnia izolację, dzięki czemu napoje pozostają dłużej ciepłe. Dołączona bambusowa przykrywka zapewnia dodatkową izolację, pomaga zapobiegać rozlewaniu i zachować aromat napoju, dzięki czemu jest to praktyczny wybór do codziennego użytku.;Lenora 250 ml glass cup with bamboo lid;80% Glass and 20% FSC certified bamboo;250 ml double-walled glass cup providing insulation, keeping drinks warm for longer. The included bamboo lid provides additional insulation, helps prevent spills and preserve the drink’s aroma, making it a practical choice for daily use.;;240;0,016;AK;
GBR/0106020/L301;Otwieracz Do Butelek ''Król'';Tworzywo sztuczne;Otwieracz do butelek Król wykonany z wysokiej jakości  tworzywa sztucznego w kształcie ludzika z czarnymi stopkami i zdejmowaną koroną. Głowa służy za otwieracz, brzuch jako powierzchnia pod reklamę. Tworzywo sztuczne ABS, 6 kolorów, 120 x 60 x 30 mm, 34 g. Cena zawiera jeden nadruk w jednym kolorze. Minimalna ilość zamówienia to 200 sztuk.;Kunde König;Kunststoff;Kunde König, Dünensand;;0;0;AK;
GPF/118018/L555;Brelok aluminiowy Tao z otwieraczem do butelek i puszek;Aluminium.;Brelok aluminiowy Tao z otwieraczem do butelek i puszek.Wygodny otwieracz do butelek i puszek.Aluminium.;Tao alu bottle and can opener key chain;Aluminium.;Tao alu bottle and can opener key chain.Handy opener for bottles and cans.Aluminium.;;0;0,014;AK;
GPF/118018/L524;Brelok aluminiowy Tao z otwieraczem do butelek i puszek;Aluminium.;Brelok aluminiowy Tao z otwieraczem do butelek i puszek.Wygodny otwieracz do butelek i puszek.Aluminium.;Tao alu bottle and can opener key chain;Aluminium.;Tao alu bottle and can opener key chain.Handy opener for bottles and cans.Aluminium.;;0;0,014;AK;
GPF/112982/M300;Bambusowy otwieracz do butelek Barron;Bambus i stal nierdzewna.;Bambusowy otwieracz do butelek Barron. Otwieracz do butelek wykonany z trwałego materiału bambusowego z miejscem reklamowym na środku. Bambus i stal nierdzewna.;Barron bamboo bottle opener;Bamboo and stainless steel.;Barron bamboo bottle opener. Bottle opener made of sturdy bamboo material with brandable area in the middle. Bamboo and stainless steel.;U;0;0,384;AK;
GMO/MO9247/03;Otwieracz w kształcie butelki;Aluminium;Otwieracz, brelok w kształcie butelki.;Aluminium bottle opener;Aluminium;Aluminium bottle opener with key ring.;;0;0,013;AK;
GVG/VA347/20;Bambusowy otwieracz do butelek z ostrzałką do noży;bambus;Otwieracz do butelek z ostrzałką do noży, posiada magnes umożliwiający przyczepienie do lodówki, produkt wykonany z bambusa;Bamboo bottle opener with knife sharpener;bamboo;Practical 2-in-1 opener and sharpener, made from bamboo. Includes an integrated knife sharpener, bottle opener, and magnet.;;0;0,05;AK;
GXD/P911-801/L527;Korkociąg Eon;stop cynku;Łatwy w użyciu korkociąg, zintegrowany nóż do folii, wzór zastrzeżony, ślad węglowy produktu: 0,83 kg CO2;Eon 2 step corkscrew;stop cynku;Eon is the tool for every barman. It’s a stylish, compact and easy to use 2 step opener. The integrated foil cutters help you remove the foil and with the leveller your bottle is opened with 3 simple movements, down, up and up. Enjoy your wine. Registered design;;0;0,095;AK;
GMO/MO9247/14;Otwieracz w kształcie butelki;Aluminium;Otwieracz, brelok w kształcie butelki.;Aluminium bottle opener;Aluminium;Aluminium bottle opener with key ring.;;0;0,013;AK;
GBR/0076280/L557;Otwieracz Do Butelek;Tworzywo sztuczne;Otwieracz do butelek wykonany z wysokiej jakości  tworzywa sztucznego w kształcie ludzika z czarnymi stopkami. Głowa służy za otwieracz, brzuch jako powierzchnia pod reklamę.Tworzywo sztuczne ABS, 6 kolorów, 120 x 60 x 30 mm, 34 g. Cena zawiera jeden nadruk w jednym kolorze. Minimalna ilość zamówienia to 225 sztuk.;Der Öffner;Kunststoff;Der Öffner, Transluzent, Blau;;0;0;AK;
GAS/17030/L335;Otwieracz Kapsel;Metal/Tworzywo;Otwieracz do butelek w kształcie kapsla. Posiada wbudowany magnes, za pomocą którego otwieracz można przymocować do lodówki. Znakowanie logo wykonujemy metodą nadruku.;Bottle opener KAPSEL;Metal/Plastic;Bottle cap shaped opener . It has built in magnet that enables attaching this handy gadget to refrigerator. Logo may be inprinted on products' surface.;;0;0;AK;
GBR/0089150/L361;Otwieracz Do Butelek ''Aktywny'';Tworzywo sztuczne;Otwieracz do butelek Król wykonany z wysokiej jakości  tworzywa sztucznego w kształcie ludzika z czarnymi stopkami i zdejmowaną czapką. Głowa służy za otwieracz, brzuch jako powierzchnia pod reklamę. Tworzywo sztuczne ABS, 6 kolorów, 120 x 60 x 30 mm, 34 gCena zawiera jeden nadruk w jednym kolorze. Minimalna ilość zamówienia to 200 sztuk.;Der Aktive;Kunststoff;Der Aktive, Gelb;;0;0;AK;
GBR/0106250/L301;Otwieracz Uniwersalny, ''Pomocna Dłoń'',Piaskowy;Tworzywo sztuczne;Otwieracz w formie dłoni łączy w sobie otwieracz do kapsli, do zakrętek na słoikach i służy do odkręcania zakrętek  plastikowych butelek. Na powierzchni dłoni znajduje się otwieracz do odkręcania, po lewej i prawej stronie umieszczone są oba otwieracze podnoszące. ABS tworzywo sztuczne, około 10 x 5 cm, 23 g. Cena zawiera jeden nadruk w jednym kolorze. Minimalna ilość zamówienia to 170 sztuk.;Helfende Hand, Dünensand;Kunststoff;Helfende Hand, Dünensand;;0;0;AK;
GVG/V9966/03;Otwieracz do butelek ''pięść'';Plastik, Metal;Otwieracz do butelek ''pięść'';Bottle opener ''fist'';Plastic, Metal;Bottle opener ''fist'';;0;0;AK;
GVG/VA705/03;Elektryczny korkociąg;ABS;Elektryczny korkociąg w kolorze czarnym, zasilany 4 bateriami AAA (nie dołączone), produkt wykonany z ABS;Electric corkscrew;ABS;Electric corkscrew designed to open wine bottles quickly and easily. Equipped with an automatic extraction button, it allows removing the cork effortlessly. Powered by batteries (4xAAA not included).;;0;0,21;AK;
GVG/V2107/32;Otwieracz do butelek z aluminium z recyklingu;aluminium z recyklingu;Otwieracz do butelek wykonany z aluminium z recyklingu;Recycled aluminium bottle opener;recycled aluminium;Bottle opener made from recycled aluminium;;0;0,0192;AK;
GPF/113421/L304;Supo dwuścienny pojemnik śniadaniowy ze stali nierdzewnej z recyklingu o pojemności 480 ml;80% Stal nierdzewna z recyklingu, 20% Polipropylen;Pojemnik na lunch Doveron o podwójnych ściankach jest wykonany ze stali nierdzewnej z recyklingu, dzięki czemu jest bardziej zrównoważonym wyborem w porównaniu z plastikowymi i jednorazowymi pojemnikami na lunch. Każdy pojemnik na lunch jest zapakowany w pudełko z szarego papieru z recyklingu. Produkt nie nadaje się do mycia w zmywarkach, ani do użycia w kuchenkach mikrofalowych. Pojemność: 480 ml.;Supo 480 ml double-walled recycled stainless steel lunch pot with foldable spoon;80% Recycled stainless steel, 20% PP Plastic;The Supo double-walled lunch pot is made of recycled stainless steel, making it a more sustainable choice compared to plastic and disposable lunch containers. Inside the lid, there is a convenient foldable spoon made of stainless steel, perfect for meals on the go. Each lunch pot is packed in a recycled kraft paper box. This item is not suitable for dishwasher or microwave. Capacity: 480 ml.;U;0;0,326;AK;
GMO/MO2678/66;;;;;;;U;0;0,17;AK;
GAS/17632/01;Pojemnik TOGO 700 ml + 700 ml;Metal/Tworzywo;Pojemnik z wnętrzem ze stali nierdzewnej podzielony na dwie komory, które składamy jedną na drugą, co zapewnia poręczne i wygodne przenoszenie dwudaniowych posiłków. Górna komora wyposażona w uszczelkę. Uchwyty z tworzywa sztucznego z możliwością złożenia. Łączna pojemność: 1400 ml.;Food container TOGO 700 + 700 ml;Metal/Plastic;The container with the inside made of stainless steel is divided into two parts which are stackable which ensures handy and comfortable transfer of two-course meals. The upper chamber is equipped with a seal. Handles made of plastic are foldable. Total capacity: 1,400ml. ;;0;0,223;AK;
GVG/VA919/10;Pudełko śniadaniowe ''kanapka'' 450 ml | Saffo;PP;Pudełko śniadaniowe ''kanapka'' o pojemności 450 ml z blokadą bezpieczeństwa, produkt wykonany z PP;Lunch box ''sandwich'' 450 ml | Saffo;PP;Lunch box ''Sandwich'' with a capacity of 450 ml, featuring a safety lock, made of PP;U;0;0,043;AK;
GMO/MO6205/03;Lunchbox z PP;PP;Lunchbox wykonany z PP z wbudowaną funkcją podstawki pod telefon.;Lunch box in PP;PP;Lunch box made of PP with phone stand feature built in.;U;0;0,203;AK;
GPF/210181/P092;MIYO Renew jednoczęściowy lunchbox;Plastic;MIYO Renew to idealne rozwiązanie, które zaspokoi wszystkie potrzeby związane z jedzeniem w podróży. To stylowe pudełko śniadaniowe zawiera plastik pochodzący z trzciny cukrowej, co czyni go doskonałym wyborem, jeśli chcesz zmniejszyć zależność od jednorazowych produktów z tworzyw sztucznych. MIYO Renew można myć w zmywarce na górnej półce i używać w kuchence mikrofalowej. Zawiera opaskę wykonaną z tworzyw sztucznych pochodzących z recyklingu, która utrzymuje wszystko razem. Możesz z łatwością łączyć i dopasowywać kolory oraz dodawać dodatkowe akcesoria. Wyprodukowano w Wielkiej Brytanii. Zapakowana w torbę, którą można kompostować w domu.;MIYO Renew single layer lunch box;Plastic;The MIYO Renew is the perfect solution for all on-the-go dining needs. This stylish lunch box includes plastic derived from sugar cane, making it a superb choice for reducing reliance on single-use plastic products. The MIYO Renew is top-rack dishwasher safe and microwave safe. It includes a band made from recycled plastic to keep everything together. You can mix and match colours with ease, and add extra accessories. Made in the UK. Packed in a home compostable bag.;;0;0,205;AK;
GMO/MO6646/03;Lunch box ze sztućcami z PP;PP;Dwupoziomowy pojemnik na lunch z PP z pasującym zestawem sztućców i uchwytem. Pojemność całkowita: 1000 ml.;Lunch box with cutlery in PP;PP;Two-tier PP lunch box with matching cutlery set and a handle.Total capacity : 1000 ml;;0;0,238;AK;
GPF/113180/M855;Duże pudełko na lunch Take-a-break;Plastic;Duże pudełko na lunch z pierścieniem uszczelniającym, aby zawartość była świeża i smaczna. Może pomieścić do 8 kanapek. W zestawie przegródka. Pojemność wynosi 1,5 litra. Można myć w zmywarce. Wolne od BPA.;Mepal Take-a-break lunch box large;Plastic;Large lunch box featuring a tight-sealing ring to keep the contents fresh and tasty. Suitable for 8 sandwiches. Divider included. The capacity is 1.5 liters. Dishwasher safe. BPA free. 2 years Mepal warranty.;;0;0,34;AK;
GVG/V7246/02;Lunch boxes 2 pcs, 2x700 ml, cutlery;PP, ABS;Pudełka śniadaniowe 2 szt., 2x700 ml, szczelne, zamykane na 2 klipsy, w komplecie nóż i łyżkowidelec, górne pudełko z wyjmowaną przegrodą i przezroczystym wieczkiem.;Pudełka śniadaniowe 2 szt., 2x700 ml, sztućce;PP, ABS;Lunch box 2 pcs, 2x700 ml, leakproof, closed with 2 clips, including knife and spork, upper box with removable divider and transparent lid.;;0;0;AK;
GPF/113184/L021;Mepal Ellipse Mini pojemnik na lunch;Polipropylen;Pojemnik na lunch Ellipse Mini idealnie nadaje się do przechowywania przekąsek, np. jogurtu z musli lub zupy z grzankami. Dzięki dwóm inteligentnym przegródkom w jednym wytrzymałym pojemniku Twoje produkty będą zawsze starannie oddzielone. Jego kompaktowy rozmiar sprawia, że idealnie mieści się w plecaku szkolnym, dzięki czemu można go w niego wygodnie zapakować przekąski na szybki posiłek. Górny przezroczysty pojemnik ma pojemność 120 ml, idealną na około 50 gramów musli lub owoców, a dolny pojemnik ma pojemność 300 ml. Pojemnik jest szczelny i można go myć w zmywarce. Wolne od BPA.;Mepal Ellipse Mini 300+120 ml lunch pot;PP Plastic;The Ellipse Mini lunch pot is perfect for a variety of snacks, such as yogurt with muesli or soup with croutons. Featuring two smart compartments in one sturdy container, it keeps your ingredients neatly separated. Its compact size makes it ideal for easily fitting into a school bag for a quick, convenient meal. The top transparent container holds 120 ml, ideal for around 50 grams of muesli or fruit, and the bottom container has a capacity of 300 ml. Leakproof and dishwasher safe. BPA free.;U;0;0,33;AK;
GVG/V1592/32;Pudełko Śniadaniowe 1100 Ml;Stal Nierdzewna;Pudełko śniadaniowe 1100 ml;;;;;0;0,03;AD;
GMO/MO2743/13;;;;;;;U;0;0,087;AK;
GRD/R08245/02;Pojemnik próżniowy 1000 ml Bigger, czarny ;stal nierdzewna 18/8, PP polipropylen;Pojemnik próżniowy o pojemności 1000 ml. Doskonale sprawdzi się jako termos utrzymujący Twój lunch w ciepłej temperaturze. Dwie ścianki ze stali nierdzewnej, wewnątrz stal 18/8 o podwyższonej jakości. Posiada szczelne zamknięcie zapobiegające wyciekaniu płynów.;;;;;0;0;AK;
GMO/MO2941/20;;;;;;;U;0;0,212;AK;
GPF/113274/L316;Pudełko na lunch Dovi z tworzywa sztucznego pochodzącego z recyklingu;Polipropylen (PP) z recyklingu;Pojemnik na lunch Dovi o pojemności 800 ml jest wykonany w 100% z tworzywa sztucznego pochodzącego z recyklingu, co czyni go trwałym i modnym wyborem. Posiada zamknięcie na gumkę, dzięki któremu pokrywka pozostaje bezpiecznie na swoim miejscu podczas podróży.;Dovi 800 ml recycled plastic lunch box;Recycled PP Plastic;The 800 ml Dovi lunch box is made of 100% recycled plastic, making it a sustainable and on-trend choice. Comes with an elastic band closure, keeping the lid securely in place for when on the go.;;0;0;AK;
GRD/R17166/02;Zestaw noży na bloku magnetycznym Akita;stal;Zestaw 4 noży kuchennych na magnetycznej podstawie MDF. W zestawie znajduje się nóż szefa kuchni, nóż do filetowania, nóż do pieczywa i nóż uniwersalny. Praktyczne rozwiązanie do przechowywania i łatwego dostępu. Wykonane z wysokiej jakości stali nierdzewnej pokryte powłoką nieprzywierającą , zapewniające precyzyjne cięcie i trwałość. Doskonałe narzędzia dla każdego kucharza i pasjonata gotowania.;Akita set of knives on a magnetic block;steel;A set of 4 kitchen knives on a magnetic MDF base. The set includes a chef's knife, a fillet knife, a bread knife and a utility knife. A practical solution for storage and easy access. Made of high-quality stainless steel with a non-stick coating for precise cutting and durability. Perfect tools for every cook and cooking enthusiast.;;0;4,8;AK;
GPF/210296/L271;Epsy Rise łyżko-widelec;Plastic;Niezbędny łyżko-widelec Epsy Rise jest dostępny w szerokiej gamie kolorów, a dowolne logo/wzór można dodać poprzez formowanie wypukłe, uzyskując efekt wytłoczenia. Wyprodukowano w Wielkiej Brytanii.;Epsy Rise spork;Plastic;The lunchtime essential Epsy Rise spork is available in a range of colours, and any logo/design can be added through relief moulding, giving an embossed effect. Made in the UK.;;0;0,01;AD;
GMO/MO6661/04;Zestaw sztućców z PP;PP;Zestaw przenośnych sztućców z PP wielokrotnego użytku i z etui. Zawiera łyżkę, widelec i nóż.;Cutlery set recycled PP;PP;Re-usable PP portable cutlery set and case. Includes spoon, fork and knife.;;0;0,067;AK;
GPF/113211/L335;Nóż Kelnerski Nordkapp;Stal nierdzewna;Nóż kelnerski ze stali nierdzewnej z kolorowym korpusem, wyposażony w przecinak do folii i otwieracz do butelek.;;;;;0;0;AK;
GVG/VG012/32;Nóż do chleba VINGA Hattasan;Stal Nierdzewna;Nóż do chleba, wykonany z japońskiej stali nierdzewnej;VINGA Hattasan bread knife;Stainless steel;High-quality bread knife in Japanese steel (420 J2). With this sharp bread knife the bread won't crumble when you slice it.;;0;1;AK;
GRD/R17554/02;Składany nóż Acme;Plastik;"Składany na płasko nóż w kształcie karty kredytowej. Zbliżone do karty wymiary pozwalają na umieszczenie noża w portfelu.

";Acme Foldable Knife;Plastic;Flat-foldable credit card shaped knife. Dimensions suitable for placing the knife in the wallet. Full color print(UV) option possible.;;0;0,192;AK;
